,Address,Latitude,Longitude,Price,Webpage
49, 2532 E Bourquin Crescent  Central Abbotsford Abbotsford  ,,,"$1,590,000",https://www.rew.ca/properties/2571570/2532-e-bourquin-crescent-abbotsford-bc
50, 2752 Eagle Mountain Drive  Abbotsford East Abbotsford  ,49.0455196,-122.2501215,"$1,168,000",https://www.rew.ca/properties/2571342/2752-eagle-mountain-drive-abbotsford-bc
51, D-33871 Marshall Road  Central Abbotsford Abbotsford  ,49.0385703,-122.3555104,"$414,900",https://www.rew.ca/properties/2571030/d-33871-marshall-road-abbotsford-bc
52, 9-2952 Nelson Place  Central Abbotsford Abbotsford  ,49.0502982,-122.29525032127623,"$454,900",https://www.rew.ca/properties/2571011/9-2952-nelson-place-abbotsford-bc
53, 12-33110 George Ferguson Way  Central Abbotsford Abbotsford  ,49.0550265,-122.3284994,"$269,900",https://www.rew.ca/properties/2570762/12-33110-george-ferguson-way-abbotsford-bc
54, 2330 Sentinel Drive  Central Abbotsford Abbotsford  ,49.0435125,-122.2738487,"$675,000",https://www.rew.ca/properties/2570726/2330-sentinel-drive-abbotsford-bc
55, 30612 Crestview Avenue  Abbotsford West Abbotsford  ,49.0657632,-122.3771504,"$824,900",https://www.rew.ca/properties/2570713/30612-crestview-avenue-abbotsford-bc
56, 302-33110 George Ferguson Way  Central Abbotsford Abbotsford  ,49.0550265,-122.3284994,"$274,900",https://www.rew.ca/properties/2570678/302-33110-george-ferguson-way-abbotsford-bc
57, 4-2991 Trethewey Street  Abbotsford West Abbotsford  ,49.0565409,-122.3272795,"$189,000",https://www.rew.ca/properties/2569464/4-2991-trethewey-street-abbotsford-bc
58, LT.5-37885 Bakstad Road  Sumas Mountain Abbotsford  ,,,"$1,799,000",https://www.rew.ca/properties/2568799/lt-5-37885-bakstad-road-abbotsford-bc
59, 109-32725 George Ferguson Way  Abbotsford West Abbotsford  ,49.0550265,-122.3284994,"$344,000",https://www.rew.ca/properties/2566803/109-32725-george-ferguson-way-abbotsford-bc
60, 41-35287 Old Yale Road  Abbotsford East Abbotsford  ,,,"$509,900",https://www.rew.ca/properties/2567982/41-35287-old-yale-road-abbotsford-bc
61, 315-3192 Gladwin Road  Central Abbotsford Abbotsford  ,49.0596631,-122.31562626178825,"$409,900",https://www.rew.ca/properties/2567908/315-3192-gladwin-road-abbotsford-bc
62, 133-4595 Sumas Mountain Road  Abbotsford East Abbotsford  ,49.1260573,-122.2201465,"$949,700",https://www.rew.ca/properties/2567494/133-4595-sumas-mountain-road-abbotsford-bc
63, 130-4595 Sumas Mountain Road  Abbotsford East Abbotsford  ,49.1260573,-122.2201465,"$924,700",https://www.rew.ca/properties/2567364/130-4595-sumas-mountain-road-abbotsford-bc
64, 2340 Broadway Street  Abbotsford West Abbotsford  ,49.0443991,-122.3226269,"$424,900",https://www.rew.ca/properties/2567173/2340-broadway-street-abbotsford-bc
65, 141-4595 Sumas Mountain Road  Abbotsford East Abbotsford  ,49.1260573,-122.2201465,"$909,700",https://www.rew.ca/properties/2567066/141-4595-sumas-mountain-road-abbotsford-bc
66, 2752 Eagle Mountain Drive  Abbotsford East Abbotsford  ,49.0455196,-122.2501215,"$1,168,000",https://www.rew.ca/properties/2571342/2752-eagle-mountain-drive-abbotsford-bc
67, 101-3190 Gladwin Road  Central Abbotsford Abbotsford  ,49.05944385,-122.31425494651899,"$384,800",https://www.rew.ca/properties/2564698/101-3190-gladwin-road-abbotsford-bc
68, 132-4595 Sumas Mountain Road  Abbotsford East Abbotsford  ,49.1260573,-122.2201465,"$934,700",https://www.rew.ca/properties/2567013/132-4595-sumas-mountain-road-abbotsford-bc
69, 103-33870 Fern Street  Central Abbotsford Abbotsford  ,49.03704475,-122.28550179997958,"$219,900",https://www.rew.ca/properties/2566823/103-33870-fern-street-abbotsford-bc
70, 301-2450 Church Street  Abbotsford West Abbotsford  ,49.0460005,-122.3349267,"$349,700",https://www.rew.ca/properties/2565474/301-2450-church-street-abbotsford-bc
71, 104-32669 George Ferguson Way  Abbotsford West Abbotsford  ,49.0550265,-122.3284994,"$274,700",https://www.rew.ca/properties/2565417/104-32669-george-ferguson-way-abbotsford-bc
72, 412-2860 Trethewey Street  Abbotsford West Abbotsford  ,49.0601099,-122.3269446,"$379,900",https://www.rew.ca/properties/2564560/412-2860-trethewey-street-abbotsford-bc
73, 901-33065 Mill Lake Road  Central Abbotsford Abbotsford  ,49.0487188,-122.3075478,"$549,900",https://www.rew.ca/properties/2564747/901-33065-mill-lake-road-abbotsford-bc
74, 35445 Eagle Summit Drive  Abbotsford East Abbotsford  ,49.0514213,-122.2434193,"$1,159,800",https://www.rew.ca/properties/2564705/35445-eagle-summit-drive-abbotsford-bc
75, 101-3190 Gladwin Road  Central Abbotsford Abbotsford  ,49.05944385,-122.31425494651899,"$384,800",https://www.rew.ca/properties/2564698/101-3190-gladwin-road-abbotsford-bc
76, 32558 Ridgeway Street  Central Abbotsford Abbotsford  ,49.044401,-122.3215347,"$424,900",https://www.rew.ca/properties/2561973/32558-ridgeway-street-abbotsford-bc
77, 3493 Okanagan Drive  Abbotsford West Abbotsford  ,49.0653681,-122.3210453,"$829,900",https://www.rew.ca/properties/2563839/3493-okanagan-drive-abbotsford-bc
78, 2-2456 Ware Street  Central Abbotsford Abbotsford  ,49.0443664,-122.3044922,"$259,900",https://www.rew.ca/properties/2562980/2-2456-ware-street-abbotsford-bc
79, 116-32445 Simon Avenue  Abbotsford West Abbotsford  ,49.0533866,-122.319593,"$485,900",https://www.rew.ca/properties/2561669/116-32445-simon-avenue-abbotsford-bc
80, 116-1755 Salton Road  Central Abbotsford Abbotsford  ,49.03532,-122.287679,"$369,900",https://www.rew.ca/properties/2562968/116-1755-salton-road-abbotsford-bc
81, 2733 Eagle Summit Crescent  Abbotsford East Abbotsford  ,49.0519346,-122.2439236,"$1,439,000",https://www.rew.ca/properties/2561188/2733-eagle-summit-crescent-abbotsford-bc
82, 207-2853 W Bourquin Crescent  Central Abbotsford Abbotsford  ,,,"$232,700",https://www.rew.ca/properties/2560874/207-2853-w-bourquin-crescent-abbotsford-bc
83, 612-2649 James Street  Abbotsford West Abbotsford  ,49.0511434,-122.3294802,"$499,999",https://www.rew.ca/properties/2560881/612-2649-james-street-abbotsford-bc
84, 157-3160 Townline Road  Abbotsford West Abbotsford  ,49.0541345,-122.3600148,"$555,000",https://www.rew.ca/properties/2560046/157-3160-townline-road-abbotsford-bc
85, 35408 Eagle Summit Drive  Abbotsford East Abbotsford  ,49.0514213,-122.2434193,"$1,998,000",https://www.rew.ca/properties/2560050/35408-eagle-summit-drive-abbotsford-bc
86, 305-32119 Old Yale Road  Abbotsford West Abbotsford  ,49.0081029,-122.1591938,"$234,700",https://www.rew.ca/properties/2559926/305-32119-old-yale-road-abbotsford-bc
87, 113-2943 Nelson Place  Central Abbotsford Abbotsford  ,49.0502982,-122.29525032127623,"$299,900",https://www.rew.ca/properties/2557698/113-2943-nelson-place-abbotsford-bc
